"Date","Price","Open","High","Low","Change %"
"Aug 10, 2021","6.402","6.435","6.435","6.400","0.13%"
"Aug 09, 2021","6.394","6.452","6.452","6.394","-0.53%"
"Aug 06, 2021","6.428","6.428","6.444","6.428","-0.42%"
"Aug 05, 2021","6.455","6.400","6.455","6.387","1.00%"
"Aug 04, 2021","6.391","6.404","6.404","6.391","-0.16%"
"Aug 03, 2021","6.401","6.412","6.421","6.396","0.00%"
"Aug 02, 2021","6.401","6.413","6.421","6.401","0.55%"
"Jul 30, 2021","6.366","6.393","6.393","6.366","-0.31%"
"Jul 29, 2021","6.386","6.403","6.403","6.386","0.39%"
"Jul 28, 2021","6.361","6.361","6.404","6.349","0.13%"
"Jul 27, 2021","6.353","6.404","6.404","6.353","0.03%"
"Jul 26, 2021","6.351","6.346","6.363","6.346","0.16%"
"Jul 23, 2021","6.341","6.406","6.406","6.341","-0.03%"
"Jul 22, 2021","6.343","6.357","6.357","6.343","0.57%"
"Jul 20, 2021","6.307","6.341","6.341","6.307","-0.43%"
"Jul 19, 2021","6.334","6.418","6.418","6.334","-0.41%"
"Jul 16, 2021","6.360","6.360","6.360","6.360","-0.03%"
"Jul 15, 2021","6.362","6.430","6.430","6.362","0.13%"
"Jul 14, 2021","6.354","6.405","6.405","6.354","-0.14%"
"Jul 13, 2021","6.363","6.397","6.397","6.363","-0.55%"
"Jul 12, 2021","6.398","6.423","6.423","6.398","0.00%"
"Jul 09, 2021","6.398","6.500","6.500","6.381","0.36%"
"Jul 08, 2021","6.375","6.409","6.414","6.375","-0.36%"
"Jul 07, 2021","6.398","6.398","6.398","6.398","-0.51%"
"Jul 06, 2021","6.431","6.521","6.521","6.431","0.82%"
"Jul 05, 2021","6.379","6.453","6.504","6.379","0.14%"
"Jul 02, 2021","6.370","6.370","6.370","6.370","0.31%"
"Jul 01, 2021","6.350","6.380","6.380","6.350","1.36%"
"Jun 30, 2021","6.265","6.298","6.333","6.265","-0.13%"
"Jun 29, 2021","6.273","6.317","6.317","6.267","-0.55%"
"Jun 28, 2021","6.308","6.354","6.354","6.290","0.56%"
"Jun 25, 2021","6.273","6.281","6.299","6.273","0.22%"
"Jun 24, 2021","6.259","6.261","6.280","6.256","-0.13%"
"Jun 23, 2021","6.267","6.263","6.319","6.252","0.26%"
"Jun 22, 2021","6.251","6.291","6.291","6.251","0.06%"
"Jun 21, 2021","6.247","6.264","6.264","6.218","0.47%"
"Jun 18, 2021","6.218","6.273","6.273","6.218","-0.46%"
"Jun 17, 2021","6.247","6.301","6.301","6.238","0.29%"
"Jun 16, 2021","6.229","6.229","6.247","6.207","0.89%"
"Jun 15, 2021","6.174","6.229","6.229","6.138","1.48%"
"Jun 14, 2021","6.084","6.102","6.120","6.084","0.15%"
"Jun 11, 2021","6.075","6.111","6.111","6.075","-0.52%"
"Jun 10, 2021","6.107","6.130","6.130","6.107","-0.18%"
"Jun 09, 2021","6.118","6.122","6.149","6.114","0.08%"
"Jun 08, 2021","6.113","6.162","6.162","6.113","-0.68%"
"Jun 07, 2021","6.155","6.206","6.206","6.155","-0.50%"
"Jun 04, 2021","6.186","6.228","6.228","6.184","0.19%"
"Jun 03, 2021","6.174","6.203","6.203","6.169","-0.21%"
"Jun 02, 2021","6.187","6.205","6.205","6.187","-0.15%"
"Jun 01, 2021","6.196","6.200","6.200","6.193","0.13%"
"May 31, 2021","6.188","6.269","6.269","6.188","0.50%"
"May 28, 2021","6.157","6.161","6.170","6.154","0.13%"
"May 27, 2021","6.149","6.152","6.198","6.134","0.49%"
"May 25, 2021","6.119","6.153","6.153","6.119","-0.50%"
"May 24, 2021","6.150","6.180","6.180","6.148","-0.06%"
"May 21, 2021","6.154","6.181","6.235","6.152","-0.06%"
"May 20, 2021","6.158","6.182","6.227","6.158","-0.21%"
"May 19, 2021","6.171","6.200","6.200","6.169","-0.10%"
"May 18, 2021","6.177","6.182","6.209","6.170","0.18%"
"May 17, 2021","6.166","6.201","6.201","6.166","-0.27%"
"May 14, 2021","6.183","6.174","6.237","6.165","0.39%"
"May 12, 2021","6.159","6.180","6.180","6.157","-0.11%"
"May 11, 2021","6.166","6.175","6.232","6.157","0.05%"
"May 10, 2021","6.163","6.221","6.221","6.163","0.20%"
"May 07, 2021","6.151","6.185","6.185","6.140","0.16%"
"May 06, 2021","6.141","6.177","6.240","6.141","-0.44%"
"May 05, 2021","6.168","6.213","6.240","6.165","-0.44%"
"May 04, 2021","6.195","6.177","6.240","6.174","0.28%"
"May 03, 2021","6.178","6.205","6.205","6.178","-0.08%"
"Apr 30, 2021","6.183","6.212","6.212","6.178","-0.15%"
"Apr 29, 2021","6.192","6.215","6.233","6.192","-0.11%"
"Apr 28, 2021","6.199","6.206","6.215","6.192","0.08%"
"Apr 27, 2021","6.194","6.242","6.242","6.194","-0.40%"
"Apr 26, 2021","6.219","6.243","6.261","6.219","-0.61%"
"Apr 23, 2021","6.257","6.293","6.306","6.257","-0.45%"
"Apr 22, 2021","6.285","6.307","6.307","6.285","-0.25%"
"Apr 20, 2021","6.301","6.334","6.334","6.301","0.03%"
"Apr 19, 2021","6.299","6.317","6.317","6.299","-0.03%"
"Apr 16, 2021","6.301","6.389","6.415","6.301","0.02%"
"Apr 15, 2021","6.300","6.300","6.335","6.273","0.95%"
"Apr 12, 2021","6.241","6.255","6.255","6.241","0.34%"
"Apr 09, 2021","6.220","6.247","6.247","6.220","0.42%"
"Apr 08, 2021","6.194","6.230","6.230","6.177","0.02%"
"Apr 07, 2021","6.193","6.284","6.284","6.175","-0.37%"
"Apr 06, 2021","6.216","6.248","6.302","6.213","0.16%"
"Apr 05, 2021","6.206","6.320","6.320","6.204","-1.68%"
"Mar 31, 2021","6.312","6.374","6.437","6.312","-0.27%"
"Mar 30, 2021","6.329","6.394","6.394","6.304","0.80%"
"Mar 26, 2021","6.279","6.331","6.331","6.279","-0.13%"
"Mar 25, 2021","6.287","6.395","6.395","6.287","-0.21%"
"Mar 24, 2021","6.300","6.306","6.395","6.266","0.05%"
"Mar 23, 2021","6.297","6.288","6.404","6.288","-0.43%"
"Mar 22, 2021","6.324","6.467","6.467","6.324","-0.71%"
"Mar 19, 2021","6.369","6.414","6.477","6.369","-0.98%"
"Mar 18, 2021","6.432","6.486","6.486","6.432","-0.42%"
"Mar 17, 2021","6.459","6.459","6.503","6.458","0.02%"
"Mar 16, 2021","6.458","6.487","6.523","6.454","-0.42%"
"Mar 15, 2021","6.485","6.496","6.505","6.485","-0.03%"
"Mar 12, 2021","6.487","6.487","6.496","6.487","0.26%"
"Mar 10, 2021","6.470","6.524","6.614","6.461","0.15%"
"Mar 09, 2021","6.460","6.470","6.488","6.452","0.53%"
"Mar 08, 2021","6.426","6.451","6.451","6.404","0.14%"
"Mar 05, 2021","6.417","6.444","6.444","6.417","0.80%"
"Mar 04, 2021","6.366","6.454","6.454","6.366","-0.20%"
"Mar 03, 2021","6.379","6.436","6.436","6.356","0.36%"
"Mar 02, 2021","6.356","6.365","6.392","6.338","0.11%"
"Mar 01, 2021","6.349","6.401","6.401","6.339","-0.39%"
"Feb 26, 2021","6.374","6.427","6.437","6.374","0.95%"
"Feb 25, 2021","6.314","6.323","6.438","6.287","0.67%"
"Feb 24, 2021","6.272","6.385","6.385","6.272","-0.59%"
"Feb 23, 2021","6.309","6.403","6.403","6.309","0.02%"
