stock,year,average_return
SHILPAMED,2022,0.0011459992911798296
SHOPERSTOP,2016,-0.000295714999926963
SHOPERSTOP,2017,0.00018015521887651689
SHOPERSTOP,2018,0.0018064288089555758
SHOPERSTOP,2019,-0.0003100643098109453
SHOPERSTOP,2020,-0.0035178075962678614
SHOPERSTOP,2021,0.0012028138683589887
SHOPERSTOP,2022,0.003693539325718363
SHREECEM,2016,0.0008020554300477723
SHREECEM,2017,0.0014918291621494621
SHREECEM,2018,-7.836982418429939e-05
SHREECEM,2019,0.0006613350182574173
SHREECEM,2020,7.130811436155303e-05
SHREECEM,2021,0.002323880786493803
SHREECEM,2022,-0.0006558053865060538
SIS,2016,
SIS,2017,
SIS,2018,0.0028256495662568773
SIS,2019,-0.0008552863656582948
SIS,2020,0.0004786986712281865
SIS,2021,-0.0001472254602292294
SIS,2022,0.0011238701096765115
SOBHA,2016,-0.0011919686608468222
SOBHA,2017,0.001201590814437439
SOBHA,2018,0.0020272788297646957
SOBHA,2019,7.191142171524126e-05
SOBHA,2020,-0.004690961829481105
SOBHA,2021,0.005379219924572026
SOBHA,2022,0.002640805665591522
SPARC,2016,-0.0019436548733360352
SPARC,2017,0.000609775617440958
SPARC,2018,0.001071598848151439
SPARC,2019,-0.002274478910867985
SPARC,2020,-0.0020614611146991236
SPARC,2021,0.0019109527746807
SPARC,2022,0.003492304054784943
STAR,2016,-2.965223542878165e-05
STAR,2017,0.0002662325633469677
STAR,2018,-0.0018214333988453265
STAR,2019,-0.0006106885994286243
STAR,2020,-0.0008584215509699394
STAR,2021,0.004535326696362408
STAR,2022,-0.003270409337655127
SUMICHEM,2016,
SUMICHEM,2017,
SUMICHEM,2018,
SUMICHEM,2019,
SUMICHEM,2020,
SUMICHEM,2021,0.002110159084700704
SUMICHEM,2022,0.0020039810862471077
TATAMOTORS,2016,-0.001171953848574437
TATAMOTORS,2017,0.0010193684461670496
TATAMOTORS,2018,-0.0012926541926136703
TATAMOTORS,2019,-0.002299929986105496
TATAMOTORS,2020,-0.0027656957191613254
TATAMOTORS,2021,0.006460499733847022
TATAMOTORS,2022,0.0018715153730324411
THYROCARE,2016,
THYROCARE,2017,0.0009677067372692412
THYROCARE,2018,-0.0006077686729312861
THYROCARE,2019,-0.00034475810549538713
THYROCARE,2020,0.00031174617577515984
THYROCARE,2021,0.002890970127684868
THYROCARE,2022,-0.0002538025570053698
TORNTPHARM,2016,0.0008155005403599276
TORNTPHARM,2017,0.0007890229761591724
TORNTPHARM,2018,-0.0006921751803691387
TORNTPHARM,2019,0.00195517764329555
TORNTPHARM,2020,0.00031219928302076886
TORNTPHARM,2021,0.0013076966722242022
TORNTPHARM,2022,0.0006017201663834639
TRIDENT,2016,0.004277017904414076
TRIDENT,2017,0.0025939327128666895
TRIDENT,2018,-0.0011875851870002166
TRIDENT,2019,0.0011626518052172607
TRIDENT,2020,-0.0011819133374186743
TRIDENT,2021,0.005621945053233076
TRIDENT,2022,0.006030961795315404
UFLEX,2016,0.002011847592677113
UFLEX,2017,0.0022371765358936133
UFLEX,2018,0.0011165337379514908
UFLEX,2019,-0.0015186353174654094
UFLEX,2020,-0.001330141623506472
UFLEX,2021,0.004426330131670199
UFLEX,2022,0.0023060359506483674
UNIONBANK,2016,-0.00019613736984536574
UNIONBANK,2017,0.001109927807339979
UNIONBANK,2018,-0.002600543732090194
UNIONBANK,2019,0.0005350129354324515
UNIONBANK,2020,-0.0044149734891437255
UNIONBANK,2021,0.001011551239953621
UNIONBANK,2022,0.0009424574310124888
UNOMINDA,2016,0.0029418161192101126
UNOMINDA,2017,0.003541171451430173
UNOMINDA,2018,0.0038293612600120834
UNOMINDA,2019,7.63399840606891e-05
UNOMINDA,2020,-0.0009052432507716614
UNOMINDA,2021,0.003758933174755256
UNOMINDA,2022,0.0025686952408289616
USHAMART,2016,-0.002313651390252834
USHAMART,2017,0.0024171304158856597
USHAMART,2018,0.0008063499355080493
USHAMART,2019,0.004200924358822128
USHAMART,2020,-0.0031937640147370106
USHAMART,2021,0.003543178272879684
USHAMART,2022,0.006333595157192635
